date,accum_confirm,new_confirm,infect_rate,accum_death,new_death,fatal_rate
23/01/2020,0,0,0,0,0,0
24/01/2020,0,0,0,0,0,0
25/01/2020,0,0,0,0,0,0
26/01/2020,0,0,0,0,0,0
27/01/2020,0,0,0,0,0,0
28/01/2020,0,0,0,0,0,0
29/01/2020,0,0,0,0,0,0
30/01/2020,0,0,0,0,0,0
31/01/2020,0,0,0,0,0,0
01/02/2020,0,0,0,0,0,0
02/02/2020,0,0,0,0,0,0
03/02/2020,0,0,0,0,0,0
04/02/2020,0,0,0,0,0,0
05/02/2020,0,0,0,0,0,0
06/02/2020,0,0,0,0,0,0
07/02/2020,0,0,0,0,0,0
08/02/2020,0,0,0,0,0,0
09/02/2020,0,0,0,0,0,0
10/02/2020,0,0,0,0,0,0
11/02/2020,0,0,0,0,0,0
12/02/2020,0,0,0,0,0,0
13/02/2020,0,0,0,0,0,0
14/02/2020,0,0,0,0,0,0
15/02/2020,0,0,0,0,0,0
16/02/2020,0,0,0,0,0,0
17/02/2020,0,0,0,0,0,0
18/02/2020,0,0,0,0,0,0
19/02/2020,0,0,0,0,0,0
20/02/2020,0,0,0,0,0,0
21/02/2020,0,0,0,0,0,0
22/02/2020,0,0,0,0,0,0
23/02/2020,0,0,0,0,0,0
24/02/2020,0,0,0,0,0,0
25/02/2020,0,0,0,0,0,0
26/02/2020,0,0,0,0,0,0
27/02/2020,0,0,0,0,0,0
28/02/2020,0,0,0,0,0,0
29/02/2020,0,0,0,0,0,0
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,2,2,0,0,0,0
06/03/2020,4,2,0,0,0,0
07/03/2020,11,7,0,0,0,0
08/03/2020,11,0,0,0,0,0
09/03/2020,15,4,0,0,0,0
10/03/2020,27,12,0,0,0,0
11/03/2020,51,24,0,1,1,1.96
12/03/2020,64,13,0,1,0,1.56
13/03/2020,112,48,0,1,0,0.89
14/03/2020,213,101,0,3,2,1.41
15/03/2020,287,74,0,8,5,2.79
16/03/2020,457,170,0.01,16,8,3.5
17/03/2020,643,186,0.01,24,8,3.73
18/03/2020,1340,697,0.02,45,21,3.36
19/03/2020,2471,1131,0.03,69,24,2.79
20/03/2020,4408,1937,0.05,116,47,2.63
21/03/2020,6213,1805,0.07,160,44,2.58
22/03/2020,9045,2832,0.11,210,50,2.32
23/03/2020,12305,3260,0.15,292,82,2.37
24/03/2020,14904,2599,0.18,387,95,2.6
25/03/2020,17856,2952,0.21,510,123,2.86
26/03/2020,21393,3537,0.26,700,190,3.27
27/03/2020,25398,4005,0.3,917,217,3.61
28/03/2020,29766,4368,0.36,1191,274,4
29/03/2020,33768,4002,0.41,1483,292,4.39
30/03/2020,37453,3685,0.45,1808,325,4.83
31/03/2020,43139,5686,0.52,2192,384,5.08
01/04/2020,53868,10729,0.65,2640,448,4.9
02/04/2020,60083,6215,0.72,3137,497,5.22
03/04/2020,65627,5544,0.79,3635,498,5.54
04/04/2020,71178,5551,0.85,4145,510,5.82
05/04/2020,77091,5913,0.92,4725,580,6.13
06/04/2020,82927,5836,0.99,5301,576,6.39
07/04/2020,86975,4048,1.04,5899,598,6.78
08/04/2020,90927,3952,1.09,6468,569,7.11
09/04/2020,97505,6578,1.17,7028,560,7.21
